#Node1	Node2	weight
P78527	P07910	0.568782
P78527	O14920	0.568782
P78527	Q01201	0.75
P78527	P19438	0.75
P78527	P10275	0.75
P78527	Q9Y6K9	0.75
P78527	P03372	0.311133
P78527	O75530	0.710749
P78527	P05412	0.75
P78527	P22415	0.75
P78527	P19838	0.75
P78527	Q00653	0.75
P78527	P11142	0.201461
P78527	Q14191	0.75
P78527	Q09472	0.75
P78527	P78347	0.201461
P78527	P20333	0.75
P78527	Q15628	0.75
P78527	O15111	0.75
P78527	Q92905	0.311133
P78527	P01106	0.7457060000000001
P78527	P63279	0.568782
P05412	P78347	0.41388500000000006
P05412	P10275	0.75
P05412	P40763	0.75
P05412	P25205	0.41388500000000006
P05412	P17066	0.41388500000000006
P05412	Q93009	0.41388500000000006
P05412	P38646	0.41388500000000006
P05412	O14920	0.568782
P05412	P03372	0.75
P05412	Q8TAQ2	0.75
P05412	P11142	0.75
P05412	P62263	0.41388500000000006
P05412	O15160	0.41388500000000006
P05412	Q9Y6K9	0.348804
P05412	P78527	0.75
P05412	P41182	0.75
P05412	P52597	0.41388500000000006
P05412	P42224	0.311133
P05412	Q92793	0.75
P05412	Q15796	0.75
P05412	O14497	0.41388500000000006
P05412	Q92769	0.41388500000000006
P05412	Q92785	0.41388500000000006
P05412	P63279	0.75
P05412	Q12933	0.568782
P05412	Q14192	0.41388500000000006
P05412	Q13547	0.75
P05412	O00159	0.41388500000000006
P05412	P20749	0.75
P05412	P29590	0.75
P05412	Q09472	0.75
P05412	Q92922	0.75
P05412	P19838	0.75
P05412	Q9Y230	0.41388500000000006
P05412	Q92905	0.75
P05412	Q969G3	0.75
P05412	P07910	0.41388500000000006
P05412	O14980	0.41388500000000006
P05412	P06400	0.75
P05412	Q04206	0.75
P05412	P25963	0.348804
P05412	P23396	0.41388500000000006
P05412	Q16543	0.41388500000000006
P05412	P26196	0.41388500000000006
P05412	P33992	0.41388500000000006
P05412	P33993	0.41388500000000006
P05412	P51532	0.41388500000000006
P05412	Q12824	0.75
P52597	P19838	0.473922
P52597	P25205	0.201461
P52597	P62993	0.75
P52597	Q96RU7	0.181552
P52597	P07910	0.473922
P52597	P03372	0.75
P52597	O75530	0.710749
P52597	P51617	0.710749
P52597	P05412	0.41388500000000006
P52597	P32121	0.710749
P52597	Q93009	0.201461
P52597	Q92905	0.311133
Q92793	P51003	0.311133
Q92793	P10275	0.75
Q92793	Q9Y6X2	0.75
Q92793	Q14192	0.311133
Q92793	Q14191	0.75
Q92793	Q04206	0.75
Q92793	P40763	0.75
Q92793	P41182	0.568782
Q92793	P20749	0.473922
Q92793	P29590	0.75
Q92793	P19793	0.430888
Q92793	Q09472	0.75
Q92793	Q9UER7	0.75
Q92793	Q01201	0.473922
Q92793	P12931	0.75
Q92793	Q04864	0.75
Q92793	P42224	0.75
Q92793	P19838	0.473922
Q92793	Q15796	0.75
Q92793	Q13547	0.311133
Q92793	P01106	0.75
Q92793	Q12824	0.536469
Q92793	Q9Y6K9	0.75
Q92793	O14920	0.75
Q92793	P03372	0.75
Q92793	Q92769	0.311133
Q92793	P05412	0.75
Q92793	P63279	0.75
P51532	Q92769	0.75
P51532	Q92905	0.311133
P51532	P07910	0.311133
P51532	O14497	0.75
P51532	P42224	0.75
P51532	Q01201	0.75
P51532	P10275	0.641285
P51532	P03372	0.75
P51532	P41182	0.311133
P51532	O75530	0.710749
P51532	Q92785	0.75
P51532	P05412	0.41388500000000006
P51532	P22415	0.666441
P51532	Q12824	0.75
P51532	Q00653	0.473922
P51532	Q14164	0.75
P51532	P29590	0.666441
P51532	P06400	0.75
P51532	P19793	0.311133
